date,close,open,high,low,volume,returns,volatility,rsi,ema_12,ema_26,ema_50,macd,macd_signal,macd_hist,parabolic_sar,year,calendarYear,roe,roce,peg_ratio
2017-09-27 04:00:00+00:00,38.56,38.45,38.68,38.39,102016908.0,0.007314524555903867,0.16407390597999105,34.982935153583654,38.873433935311745,39.278286286149665,39.47912073670002,-0.4048523508379205,-0.2934672022052257,-0.11138514863269477,39.77627555843937,2017,2017.0,0.3607018433832909,0.22347133931986668,17.340659224441858
2017-09-28 04:00:00+00:00,38.32,38.47,38.57,38.17,88022000.0,-0.006224066390041583,0.1632461522033931,37.68382352941182,38.786076206876885,39.19130222437937,39.40145394345414,-0.40522601750248555,-0.3159851181577374,-0.08924089934474816,39.527648002595434,2017,2017.0,0.3607018433832909,0.22347133931986668,17.340659224441858
2017-09-29 04:00:00+00:00,38.53,38.3,38.53,38.0,105199240.0,0.005480167014613846,0.16423194882970243,31.237322515212966,38.74581648041665,39.13226130313963,39.344641028353756,-0.38644482272297864,-0.3301607371558237,-0.05628408556715492,39.30388320233589,2017,2017.0,0.3607018433832909,0.22347133931986668,17.340659224441858
2017-10-02 04:00:00+00:00,38.45,38.57,38.61,38.18,74795368.0,-0.002076304178562083,0.16382052807668962,31.752577319587644,38.69946515555055,39.072261499571866,39.28779323891517,-0.37279634402131734,-0.3387283177845227,-0.03406802623679461,39.1024948821023,2017,2017.0,0.3607018433832909,0.22347133931986668,17.340659224441858
2017-10-03 04:00:00+00:00,38.62,38.5,38.77,38.48,64921200.0,0.004421326397919145,0.16248234603573078,36.30573248407641,38.687049105803325,39.033032513375474,39.246367695182926,-0.34598340757214885,-0.34018483832105867,-0.00579856925109018,38.92124539389207,2017,2017.0,0.3607018433832909,0.22347133931986668,17.340659224441858
2017-10-04 04:00:00+00:00,38.37,38.41,38.47,38.12,80655200.0,-0.006473329880890777,0.16303868371031688,37.012987012986954,38.63763026084159,38.97624063123014,39.193216347369244,-0.338610370388551,-0.33986899014201033,0.0012586197534593113,38.75812085450286,2017,2017.0,0.3607018433832909,0.22347133931986668,17.340659224441858
2017-10-05 04:00:00+00:00,38.85,38.55,38.86,38.51,85135200.0,0.012509773260359847,0.17151007299479806,38.08510638297874,38.670665700166914,38.965551311424555,39.172837218543364,-0.2948856112576408,-0.33085050901576196,0.03596489775812117,37.29,2017,2017.0,0.3607018433832909,0.22347133931986668,17.340659224441858
2017-10-06 04:00:00+00:00,38.83,38.74,38.87,38.64,69630400.0,-0.000514800514800573,0.16265196064572715,40.49773755656105,38.6954088326319,38.95419400601417,39.152882904757625,-0.2587851733822717,-0.3164095089324851,0.0576243355502134,37.3214,2017,2017.0,0.3607018433832909,0.22347133931986668,17.340659224441858
2017-10-09 04:00:00+00:00,38.96,38.95,39.18,38.87,65051692.0,0.0033479268606748658,0.14728243958088286,42.07048458149782,38.73643810805045,38.95467578812105,39.141865644796056,-0.21823768007060096,-0.2967447133628583,0.07850703329225733,37.383343999999994,2017,2017.0,0.3607018433832909,0.22347133931986668,17.340659224441858
2017-10-10 04:00:00+00:00,38.98,39.01,39.5,38.78,62468056.0,0.0005133470225870962,0.14724658818573025,49.487179487179404,38.774160402159104,38.95675864436528,39.13278267115039,-0.1825982422061756,-0.2738871228049686,0.09128888059879298,37.491143359999995,2017,2017.0,0.3607018433832909,0.22347133931986668,17.340659224441858
